title,genre,publisher,avg_ratings,na_sales,pal_sales,jp_sales,other_sales,total_sales,release_date,release_year
""Grand Theft Auto V"",Action,""Rockstar Games"",9.4,26.19,28.14,1.66,8.32,64.29,2013-09-17,2013
""Call of Duty: Black Ops"",Shooter,""Activision"",8.3,17.65,9.45,0.59,3.31,30.99,2010-11-09,2010
""Call of Duty: Modern Warfare 3"",Shooter,""Activision"",7.5,15.57,11.26,0.62,3.26,30.71,2011-11-08,2011
""Call of Duty: Black Ops II"",Shooter,""Activision"",8.4,14.12,11.08,0.72,3.67,29.59,2012-11-13,2012
""Call of Duty: Ghosts"",Shooter,""Activision"",7.8,15.06,9.6,0.49,3.65,28.8,2013-11-05,2013
""Call of Duty: Black Ops 3"",Shooter,""Activision"",8.1,12.82,9.76,0.5,3.63,26.72,2015-11-06,2015
""Call of Duty: Modern Warfare 2"",Shooter,""Activision"",9.3,13.54,8.08,0.46,2.95,25.02,2009-11-10,2009
""Grand Theft Auto IV"",Action,""Rockstar Games"",9.7,11.6,7.64,0.58,2.72,22.53,2008-04-29,2008
""Call of Duty: Advanced Warfare"",Shooter,""Activision"",8.7,10.66,7.99,0.35,2.81,21.78,2014-11-04,2014
""The Elder Scrolls V: Skyrim"",Role-Playing,""Bethesda Softworks"",9,9.52,8.08,0.41,2.5,20.51,2011-11-10,2011
""Call of Duty: WWII"",Shooter,""Activision"",8.1,8.49,8.23,0.4,2.7,19.82,2017-11-03,2017
""Red Dead Redemption 2"",Action-Adventure,""Rockstar Games"",9.8,9.02,7.68,0.21,2.8,19.71,2018-10-26,2018
""Call of Duty 4: Modern Warfare"",Shooter,""Activision"",8.9,10.06,5.8,0.42,2.06,18.33,2007-11-05,2007
""FIFA 15"",Sports,""EA Sports"",7.4,3.19,12.45,0.15,2.21,18.03,2014-09-23,2014
""Battlefield 3"",Shooter,""Electronic Arts"",8.6,8.22,6.5,0.41,2.19,17.32,2011-10-25,2011
""FIFA 14"",Sports,""EA Sports"",NULL,2.88,12.14,0.21,2.09,17.31,2013-09-24,2013
